summoners,result,time,champion,d_spell,f_spell,kill,deths,assist,level,kill_part,cs,ward
dalongmeil,Defeat,23m 35s,Lee Sin,Smite,Flash,3,3,3,11,50,91,8
dalongmeil,Victory,21m 18s,Graves,Smite,Flash,5,1,4,13,39,188,3
dalongmeil,Victory,27m 30s,Lee Sin,Smite,Flash,11,3,14,16,81,158,5
dalongmeil,Defeat,17m 19s,Viego,Smite,Flash,3,4,2,9,56,70,6
dalongmeil,Victory,31m 12s,Viego,Smite,Flash,11,6,16,16,75,158,25
dalongmeil,Victory,24m 31s,Diana,Smite,Flash,10,4,8,14,56,153,5
dalongmeil,Defeat,27m 26s,Graves,Smite,Flash,9,9,10,13,66,157,6
dalongmeil,Victory,15m 23s,Graves,Smite,Flash,8,1,6,11,48,124,2
dalongmeil,Defeat,23m 0s,Rakan,Ignite,Flash,0,8,10,10,53,37,4
dalongmeil,Defeat,28m 7s,Nocturne,Smite,Flash,5,10,13,14,67,132,6
dalongmeil,Defeat,27m 10s,Nautilus,Ignite,Flash,2,6,11,12,46,31,9
dalongmeil,Victory,22m 26s,Nautilus,Ignite,Flash,0,8,21,11,66,34,8
dalongmeil,Victory,22m 11s,Lucian,Cleanse,Flash,13,14,21,18,53,88,0
dalongmeil,Defeat,15m 30s,Diana,Smite,Flash,1,3,2,10,50,106,3
dalongmeil,Victory,18m 21s,Maokai,Mark,Flash,3,5,37,17,75,44,0
이 차가 식기전에,Victory,16m 55s,Hecarim,Smite,Ghost,2,0,1,10,17,109,1
이 차가 식기전에,Defeat,25m 4s,Nocturne,Smite,Flash,2,6,7,13,56,144,4
이 차가 식기전에,Victory,32m 50s,Nocturne,Smite,Flash,7,4,10,17,53,210,7
이 차가 식기전에,Victory,19m 5s,Hecarim,Smite,Ghost,10,2,6,13,53,154,1
이 차가 식기전에,Victory,16m 47s,Hecarim,Smite,Ghost,3,2,6,11,45,119,4
이 차가 식기전에,Victory,19m 5s,Hecarim,Smite,Ghost,2,1,6,12,38,134,3
이 차가 식기전에,Defeat,31m 11s,Hecarim,Smite,Ghost,6,5,7,16,54,212,3
이 차가 식기전에,Defeat,16m 25s,Hecarim,Smite,Ghost,1,7,3,10,44,79,2
이 차가 식기전에,Victory,18m 42s,Hecarim,Smite,Ghost,9,2,6,12,65,122,3
이 차가 식기전에,Defeat,24m 33s,Hecarim,Smite,Ghost,1,6,3,12,57,137,2
이 차가 식기전에,Victory,21m 40s,Hecarim,Smite,Ghost,7,3,6,13,72,155,4
이 차가 식기전에,Victory,18m 41s,Hecarim,Smite,Ghost,9,2,16,12,81,112,5
이 차가 식기전에,Defeat,15m 24s,Hecarim,Smite,Ghost,2,5,2,9,50,97,2
이 차가 식기전에,Victory,29m 57s,Hecarim,Smite,Ghost,18,2,12,17,71,237,3
이 차가 식기전에,Victory,32m 9s,Diana,Smite,Flash,2,5,13,16,45,205,5
이 차가 식기전에,Victory,20m 0s,Hecarim,Smite,Ghost,5,3,15,12,63,120,3
이 차가 식기전에,Victory,36m 21s,Volibear,Smite,Flash,2,6,15,16,53,164,4
이 차가 식기전에,Victory,19m 10s,Hecarim,Smite,Ghost,7,1,4,12,69,134,1
이 차가 식기전에,Victory,30m 55s,Sejuani,Ignite,Teleport,2,4,15,16,59,188,0
이 차가 식기전에,Victory,26m 23s,Rek'Sai,Smite,Flash,5,5,5,13,63,126,6
roookie,Defeat,15m 34s,Azir,Teleport,Flash,1,6,2,10,30,119,1
roookie,Defeat,31m 8s,Vex,Ignite,Flash,17,2,8,17,66,236,2
roookie,Victory,21m 52s,Azir,Exhaust,Flash,10,4,3,14,37,168,5
roookie,Defeat,18m 33s,Camille,Ignite,Flash,4,5,4,10,57,105,4
roookie,Defeat,24m 49s,Lucian,Teleport,Flash,3,10,6,12,53,167,4
roookie,Victory,30m 41s,Twisted Fate,Ignite,Flash,7,6,15,16,50,231,1
roookie,Victory,21m 41s,Twisted Fate,Teleport,Flash,1,5,11,13,35,151,2
roookie,Defeat,21m 49s,Ryze,Teleport,Flash,1,6,2,12,38,164,3
roookie,Victory,32m 25s,Ahri,Ignite,Flash,8,1,9,18,57,260,2
roookie,Defeat,15m 13s,Ahri,Ignite,Flash,2,3,0,10,20,86,3
roookie,Victory,19m 32s,Lucian,Exhaust,Flash,10,1,2,14,44,172,3
roookie,Victory,15m 13s,Azir,Teleport,Flash,3,3,5,10,40,109,3
roookie,Victory,26m 52s,Ryze,Teleport,Flash,9,3,4,16,42,227,4
roookie,Defeat,25m 31s,Syndra,Teleport,Flash,8,6,4,13,60,175,3
roookie,Defeat,28m 19s,Viktor,Cleanse,Flash,3,8,2,14,29,203,4
roookie,Victory,31m 57s,Vex,Ignite,Flash,11,4,14,16,66,179,5
roookie,Victory,15m 57s,Viktor,Cleanse,Flash,6,0,4,12,37,150,3
roookie,Defeat,25m 16s,Lucian,Heal,Flash,3,7,4,14,39,221,1
roookie,Defeat,26m 55s,Syndra,Heal,Flash,4,10,4,13,33,191,1
roookie,Defeat,30m 53s,Kennen,Teleport,Flash,6,10,5,15,48,184,7
JAJA DIFF,Victory,27m 8s,Camille,Flash,Ignite,3,4,11,14,36,143,2
JAJA DIFF,Defeat,27m 40s,Jax,Flash,Teleport,6,4,4,15,67,214,5
JAJA DIFF,Defeat,24m 3s,Jarvan IV,Flash,Smite,2,6,7,12,50,105,2
JAJA DIFF,Victory,18m 59s,Camille,Flash,Ignite,4,3,5,12,28,128,2
JAJA DIFF,Defeat,21m 18s,Renekton,Flash,Teleport,2,12,3,12,38,117,2
JAJA DIFF,Victory,15m 28s,Jax,Flash,Teleport,3,0,0,11,16,137,2
JAJA DIFF,Defeat,22m 7s,Jax,Flash,Teleport,4,2,3,13,58,174,4
JAJA DIFF,Victory,21m 30s,Camille,Flash,Ignite,8,1,4,14,50,142,1
JAJA DIFF,Victory,25m 4s,Jax,Flash,Teleport,5,4,7,15,30,182,3
JAJA DIFF,Victory,27m 48s,Jax,Flash,Teleport,4,5,10,15,47,157,7
JAJA DIFF,Defeat,15m 20s,Camille,Teleport,Ignite,2,5,0,11,100,94,0
JAJA DIFF,Defeat,20m 20s,Jax,Flash,Teleport,2,6,0,11,20,141,0
JAJA DIFF,Victory,30m 37s,Jax,Flash,Teleport,14,0,6,17,59,226,5
JAJA DIFF,Victory,22m 8s,Jax,Flash,Teleport,9,1,5,14,70,178,1
JAJA DIFF,Victory,21m 58s,Jax,Teleport,Ignite,4,5,4,14,42,165,3
JAJA DIFF,Defeat,22m 57s,Garen,Flash,Ghost,3,4,2,14,45,200,1
JAJA DIFF,Victory,15m 22s,Jax,Flash,Teleport,2,1,4,11,46,107,1
JAJA DIFF,Victory,22m 12s,Jarvan IV,Flash,Smite,6,3,11,13,65,109,6
JAJA DIFF,Victory,20m 40s,Camille,Flash,Ignite,7,4,2,14,35,178,3
JAJA DIFF,Victory,25m 44s,Jax,Flash,Teleport,8,3,3,16,31,213,2
Monster toys,UNKNOWN,4m 31s,Lissandra,Mark,Flash,3,2,4,7,100,9,0
Monster toys,Defeat,19m 6s,Vayne,Cleanse,Flash,8,7,6,16,50,102,0
Monster toys,Victory,25m 4s,Sylas,Mark,Flash,17,11,23,18,65,67,0
Monster toys,Victory,15m 58s,Orianna,Cleanse,Flash,19,4,15,16,89,69,0
Monster toys,Defeat,26m 11s,Lee Sin,Smite,Flash,4,9,10,13,61,99,11
Monster toys,Victory,38m 10s,Viego,Smite,Flash,12,3,9,18,51,213,26
Monster toys,Victory,25m 8s,Nocturne,Smite,Flash,6,6,6,13,35,143,6
Monster toys,Defeat,22m 45s,Tryndamere,Ghost,Flash,5,5,2,13,47,171,1
Monster toys,Defeat,27m 17s,Diana,Smite,Flash,2,9,5,12,64,148,4
Monster toys,Defeat,21m 49s,Lee Sin,Smite,Flash,4,4,1,12,63,125,6
Monster toys,Defeat,21m 35s,Nocturne,Smite,Flash,3,5,3,10,60,108,3
Monster toys,Victory,20m 52s,Nocturne,Smite,Flash,4,2,6,13,37,130,2
Monster toys,Defeat,29m 34s,Lee Sin,Smite,Flash,7,8,12,16,68,176,10
Monster toys,Defeat,26m 35s,Lee Sin,Smite,Flash,3,6,2,13,24,145,6
Monster toys,Victory,23m 51s,Nocturne,Smite,Flash,3,0,8,14,52,167,4
Monster toys,Defeat,18m 41s,Lee Sin,Smite,Flash,5,7,0,10,63,88,6
Monster toys,Victory,19m 47s,Diana,Smite,Flash,3,1,7,12,45,137,2
Monster toys,Victory,28m 55s,Lee Sin,Smite,Flash,7,3,8,15,60,175,7
Monster toys,Victory,15m 20s,Lee Sin,Smite,Flash,6,0,7,9,35,91,4
Monster toys,Defeat,29m 39s,Nocturne,Smite,Flash,8,3,4,15,63,157,7
TES 77,Victory,25m 32s,Nautilus,Flash,Ignite,2,9,12,12,35,41,12
TES 77,Victory,15m 17s,Yuumi,Heal,Ignite,1,3,15,9,64,3,2
TES 77,Victory,31m 8s,Nautilus,Flash,Ignite,4,7,16,13,65,42,18
TES 77,Defeat,21m 52s,Rakan,Flash,Ignite,1,7,6,10,39,33,10
TES 77,Victory,18m 33s,Leona,Flash,Ignite,1,2,8,9,43,27,6
TES 77,Victory,21m 14s,Nami,Flash,Ignite,4,1,17,11,78,11,6
TES 77,Victory,17m 32s,Zac,Flash,Mark,4,11,33,16,59,22,0
TES 77,Victory,31m 54s,Tahm Kench,Flash,Ignite,6,7,25,16,72,123,9
TES 77,Victory,39m 7s,Leona,Flash,Ignite,4,11,26,16,52,52,12
TES 77,Defeat,33m 13s,Yuumi,Exhaust,Ignite,2,7,23,14,71,8,11
TES 77,Victory,26m 39s,Thresh,Flash,Ignite,3,7,25,13,62,37,9
TES 77,Victory,27m 40s,Leona,Flash,Ignite,1,6,22,13,72,29,16
TES 77,Defeat,32m 44s,Galio,Flash,Ignite,1,10,19,14,65,51,14
TES 77,Victory,29m 39s,Nautilus,Flash,Ignite,0,5,23,15,59,41,11
TES 77,Defeat,18m 40s,Renata Glasc,Flash,Ignite,1,2,5,10,46,11,6
TES 77,Victory,17m 11s,Nautilus,Flash,Ignite,5,3,10,9,68,32,6
TES 77,Victory,15m 35s,Leona,Flash,Ignite,2,1,11,9,52,27,6
TES 77,Victory,21m 6s,Nautilus,Flash,Ignite,2,7,12,12,42,87,4
TES 77,Defeat,32m 44s,Karma,Flash,Ignite,0,9,10,12,59,33,10
TES 77,Victory,23m 2s,Nautilus,Flash,Ignite,2,7,18,11,47,29,11
가민준,Victory,16m 30s,Xayah,Heal,Flash,1,1,8,10,56,139,3
가민준,Victory,22m 8s,Samira,Cleanse,Flash,16,3,6,14,73,208,3
가민준,Victory,21m 43s,Zoe,Ignite,Flash,9,2,3,13,48,159,2
가민준,Defeat,20m 50s,Samira,Heal,Flash,2,9,2,10,22,129,0
가민준,Defeat,31m 8s,Xayah,Heal,Flash,11,6,8,16,50,277,5
가민준,Defeat,38m 10s,Kalista,Cleanse,Flash,9,8,6,18,44,324,3
가민준,Victory,30m 41s,Lucian,Heal,Flash,17,6,7,16,55,272,2
가민준,Victory,21m 49s,Ezreal,Heal,Flash,5,1,9,13,61,181,2
가민준,Defeat,19m 48s,Xayah,Heal,Flash,1,5,3,11,50,158,0
가민준,Defeat,21m 4s,Samira,Heal,Flash,4,3,3,11,64,183,2
가민준,Victory,20m 59s,Lucian,Heal,Flash,6,5,6,11,55,162,0
가민준,Victory,25m 36s,Lucian,Heal,Flash,14,3,9,15,62,241,1
가민준,Defeat,31m 0s,Samira,Heal,Flash,2,6,5,14,23,206,1
가민준,Victory,20m 0s,Lucian,Heal,Flash,8,2,9,13,74,168,2
가민준,Victory,19m 47s,Samira,Cleanse,Flash,12,1,4,12,73,200,2
가민준,Defeat,26m 11s,Miss Fortune,Cleanse,Flash,4,6,7,14,44,200,4
가민준,Victory,30m 31s,Zoe,Teleport,Flash,6,2,16,16,54,158,4
가민준,Defeat,18m 39s,Ezreal,Heal,Flash,2,3,1,10,33,145,0
가민준,Victory,32m 44s,Ezreal,Heal,Flash,17,4,8,16,78,248,7
가민준,Victory,34m 9s,Samira,Cleanse,Flash,11,6,11,17,73,297,0
jianhun,Defeat,22m 29s,Talon,Flash,Smite,5,3,3,13,50,188,5
jianhun,Defeat,37m 29s,Sejuani,Ignite,Teleport,6,14,9,17,38,219,1
jianhun,Victory,23m 31s,Kayn,Flash,Smite,9,3,6,14,56,165,5
jianhun,Defeat,23m 2s,Kha'Zix,Flash,Smite,15,7,5,13,83,121,3
jianhun,Defeat,27m 33s,Nocturne,Flash,Smite,1,6,7,13,35,166,1
jianhun,Defeat,34m 9s,Wukong,Flash,Smite,5,6,6,16,48,213,2
jianhun,Victory,32m 2s,Wukong,Flash,Smite,13,3,15,17,61,187,4
jianhun,Victory,12m 23s,Jinx,Flash,Exhaust,6,5,21,14,73,71,0
jianhun,Victory,15m 23s,Gangplank,Flash,Mark,14,5,17,16,63,47,0
jianhun,Defeat,30m 25s,Talon,Flash,Smite,9,8,8,16,77,233,3
jianhun,Defeat,22m 26s,Pyke,Flash,Ignite,7,11,9,9,64,13,6
jianhun,Defeat,21m 5s,Xayah,Flash,Heal,1,8,1,10,15,142,0
jianhun,Victory,23m 25s,Kayn,Flash,Smite,12,1,6,15,67,196,4
jianhun,Defeat,27m 15s,Graves,Flash,Smite,3,8,2,14,31,213,3
jianhun,Defeat,15m 25s,Lucian,Flash,Cleanse,1,6,1,8,40,110,0
jianhun,Victory,22m 2s,Volibear,Flash,Smite,4,3,10,13,48,127,2
jianhun,Defeat,16m 57s,Rengar,Flash,Smite,0,5,1,9,17,91,1
jianhun,Defeat,36m 35s,Rengar,Flash,Smite,21,12,11,18,80,226,4
jianhun,Victory,21m 5s,Karthus,Exhaust,Smite,11,5,16,13,64,135,2
jianhun,Defeat,32m 26s,Diana,Flash,Smite,5,10,8,16,52,187,0
LSB Kael,Defeat,24m 11s,Nautilus,Ignite,Flash,0,9,4,10,31,26,6
LSB Kael,Victory,23m 7s,Lulu,Ignite,Flash,0,2,15,12,54,13,9
LSB Kael,Victory,24m 1s,Miss Fortune,Heal,Flash,5,3,6,13,41,178,1
LSB Kael,Defeat,20m 35s,Leona,Ignite,Flash,1,7,9,9,67,29,9
LSB Kael,Victory,17m 52s,Riven,Mark,Flash,10,8,30,18,77,48,0
LSB Kael,Victory,20m 41s,Jayce,Mark,Flash,28,12,23,18,84,79,0
LSB Kael,Victory,15m 14s,Jinx,Cleanse,Flash,19,5,9,16,76,89,0
LSB Kael,Victory,20m 32s,Kennen,Ghost,Flash,13,10,24,18,71,33,0
LSB Kael,Defeat,16m 8s,Rengar,Mark,Flash,10,11,5,15,50,54,0
LSB Kael,Victory,18m 39s,Nautilus,Ignite,Flash,1,5,16,9,53,23,7
LSB Kael,Defeat,26m 49s,Rell,Ignite,Flash,0,8,21,12,72,25,9
LSB Kael,Victory,18m 8s,LeBlanc,Mark,Flash,12,7,19,18,58,14,0
LSB Kael,Defeat,22m 20s,Katarina,Mark,Flash,10,16,28,18,62,53,0
LSB Kael,Defeat,22m 26s,Qiyana,Mark,Flash,16,17,15,18,48,36,0
LSB Kael,Victory,30m 14s,Renata Glasc,Ignite,Flash,1,2,12,14,62,16,12
LSB Kael,Victory,23m 39s,Veigar,Exhaust,Flash,9,2,10,13,59,193,2
LSB Kael,Defeat,31m 23s,Nautilus,Ignite,Flash,1,7,17,12,64,41,8
LSB Kael,Defeat,30m 17s,Renata Glasc,Ignite,Flash,0,7,20,12,80,31,10
LSB Kael,Defeat,21m 43s,Yuumi,Ignite,Exhaust,3,7,10,10,72,16,6
LSB Kael,Defeat,18m 9s,Vayne,Cleanse,Flash,15,7,10,16,69,74,0
전상득,Defeat,28m 5s,Nautilus,Ignite,Flash,3,7,7,12,30,38,7
전상득,Victory,27m 4s,Leona,Ignite,Flash,0,4,15,13,65,34,9
전상득,Defeat,30m 31s,Zed,Flash,Smite,6,5,6,15,57,185,5
전상득,Victory,22m 55s,Malphite,Ignite,Flash,7,4,8,13,39,103,5
전상득,Defeat,23m 30s,Zed,Flash,Smite,2,5,3,12,45,154,5
전상득,Victory,34m 27s,Zed,Flash,Smite,9,7,3,17,41,199,7
전상득,Victory,21m 6s,Talon,Flash,Smite,16,4,3,15,58,182,3
전상득,Defeat,29m 0s,Aphelios,Flash,Heal,4,8,7,14,33,238,1
전상득,Defeat,23m 2s,Galio,Flash,Teleport,3,9,8,11,46,122,4
전상득,Victory,27m 33s,Zed,Flash,Smite,18,2,9,16,73,176,4
전상득,Defeat,34m 9s,Shen,Flash,Teleport,2,4,9,17,48,198,6
전상득,Victory,21m 25s,Rek'Sai,Flash,Smite,6,3,5,13,37,143,6
전상득,Defeat,24m 10s,Talon,Flash,Smite,2,5,7,12,56,144,7
전상득,Victory,19m 10s,Talon,Flash,Smite,8,3,4,12,52,144,3
전상득,Defeat,24m 34s,Zed,Flash,Smite,8,5,1,12,60,139,3
전상득,Victory,31m 53s,Talon,Flash,Smite,15,6,14,17,67,230,4
전상득,Victory,27m 26s,Talon,Flash,Smite,19,3,15,18,79,231,4
전상득,Defeat,22m 25s,Talon,Flash,Smite,9,6,2,12,69,125,5
전상득,Victory,19m 55s,Talon,Flash,Smite,2,3,6,13,42,157,5
전상득,Victory,20m 31s,Talon,Flash,Smite,17,3,5,15,67,180,4
Night 9 19,Victory,15m 23s,Lee Sin,Flash,Smite,5,0,2,11,41,106,4
Night 9 19,Defeat,21m 11s,Lee Sin,Flash,Smite,3,8,4,11,54,105,5
Night 9 19,Victory,15m 22s,Diana,Flash,Smite,5,0,1,11,46,129,3
Night 9 19,Victory,19m 33s,Karma,Flash,Ignite,0,1,12,10,44,20,6
Night 9 19,Victory,17m 5s,Kalista,Flash,Cleanse,12,10,10,16,52,81,0
Night 9 19,Victory,18m 21s,Jhin,Flash,Cleanse,14,10,27,18,63,53,0
Night 9 19,Victory,13m 19s,Zoe,Flash,Mark,7,8,21,15,67,35,0
Night 9 19,Victory,15m 23s,Nautilus,Flash,Ignite,0,0,14,9,52,28,4
Night 9 19,Victory,37m 55s,Leona,Flash,Ignite,0,12,14,16,47,43,17
Night 9 19,Defeat,21m 53s,Rek'Sai,Flash,Smite,7,3,4,12,58,127,7
Night 9 19,Victory,19m 47s,Sett,Flash,Mark,4,9,18,18,47,48,0
Night 9 19,Victory,19m 34s,Kalista,Flash,Cleanse,6,9,14,16,63,93,0
Night 9 19,Victory,28m 39s,Lee Sin,Flash,Smite,10,4,11,15,60,175,9
Night 9 19,Victory,15m 45s,Lee Sin,Flash,Smite,6,0,2,10,50,103,6
Night 9 19,Victory,14m 24s,Zeri,Flash,Cleanse,18,6,22,15,85,104,0
Night 9 19,Victory,13m 15s,Sylas,Flash,Mark,7,7,14,13,66,22,0
Night 9 19,Victory,27m 7s,Lee Sin,Flash,Smite,14,0,8,15,67,158,11
Night 9 19,Victory,15m 17s,Viego,Flash,Smite,8,0,2,10,63,93,9
Night 9 19,Defeat,23m 53s,Karma,Flash,Teleport,2,2,2,13,57,189,4
Night 9 19,Victory,31m 59s,Diana,Flash,Mark,10,19,28,18,44,103,0
V5 ppgod,Victory,19m 34s,Blitzcrank,Flash,Mark,8,12,31,18,59,28,0
V5 ppgod,Defeat,34m 10s,Irelia,Flash,Teleport,7,13,4,18,48,305,2
V5 ppgod,Defeat,21m 52s,Gnar,Flash,Teleport,4,7,2,13,33,141,1
V5 ppgod,Victory,24m 49s,Sion,Flash,Teleport,7,3,6,16,36,228,1
V5 ppgod,Defeat,15m 13s,Graves,Flash,Teleport,2,7,1,10,30,121,1
V5 ppgod,Defeat,19m 32s,Jayce,Flash,Teleport,2,4,1,12,30,153,1
V5 ppgod,Defeat,15m 13s,Graves,Flash,Teleport,1,7,0,9,25,98,0
V5 ppgod,Defeat,26m 52s,Renekton,Flash,Teleport,6,4,5,15,52,218,2
V5 ppgod,Defeat,24m 33s,Gwen,Ignite,Teleport,3,7,2,13,29,168,1
V5 ppgod,Defeat,35m 58s,Gnar,Flash,Teleport,2,11,15,18,50,240,2
V5 ppgod,Defeat,15m 17s,Gragas,Flash,Teleport,0,2,2,10,33,119,0
V5 ppgod,Victory,21m 20s,Viktor,Flash,Teleport,6,7,4,14,77,149,3
V5 ppgod,Victory,20m 0s,Renekton,Flash,Ignite,5,3,3,13,35,179,3
V5 ppgod,Victory,26m 11s,Renekton,Flash,Ignite,7,6,7,15,44,194,3
V5 ppgod,Defeat,15m 20s,Senna,Flash,Exhaust,1,10,0,6,33,16,3
V5 ppgod,Defeat,18m 40s,Graves,Flash,Teleport,2,8,3,11,38,118,1
V5 ppgod,Defeat,30m 42s,Sett,Flash,Teleport,4,18,3,16,21,206,2
V5 ppgod,Defeat,19m 5s,Irelia,Flash,Teleport,0,7,1,12,14,185,0
V5 ppgod,Defeat,27m 4s,Gnar,Flash,Teleport,2,6,2,15,31,213,3
V5 ppgod,Defeat,30m 31s,Aatrox,Flash,Teleport,3,14,2,14,24,176,0
SwordArt77777,Defeat,33m 24s,Bard,Exhaust,Flash,0,4,21,14,81,23,6
SwordArt77777,Defeat,23m 15s,Renata Glasc,Ignite,Flash,2,5,7,11,75,22,5
SwordArt77777,Defeat,22m 12s,Nautilus,Ignite,Flash,0,3,7,10,44,34,6
SwordArt77777,Defeat,34m 12s,Nautilus,Ignite,Flash,3,8,12,13,45,38,17
SwordArt77777,Victory,19m 32s,Leona,Ignite,Flash,3,0,10,10,41,29,3
SwordArt77777,Victory,22m 57s,Leona,Ignite,Flash,1,3,10,11,44,35,6
SwordArt77777,Victory,20m 44s,Alistar,Ignite,Flash,2,6,18,10,67,27,6
SwordArt77777,Defeat,20m 2s,Thresh,Ignite,Flash,1,6,6,9,54,34,6
SwordArt77777,Victory,24m 53s,Nautilus,Ignite,Flash,1,1,18,12,73,30,8
SwordArt77777,Defeat,23m 55s,Bard,Exhaust,Flash,2,6,4,10,50,35,6
SwordArt77777,Victory,27m 53s,Rakan,Ignite,Flash,3,5,22,14,60,9,10
SwordArt77777,Victory,26m 44s,Nautilus,Ignite,Flash,2,3,13,12,54,32,8
SwordArt77777,Defeat,29m 28s,Nautilus,Ignite,Flash,2,8,9,11,50,43,13
SwordArt77777,Defeat,30m 42s,Senna,Heal,Flash,1,5,11,12,57,45,6
SwordArt77777,Defeat,35m 31s,Renata Glasc,Ignite,Flash,1,10,19,14,57,10,7
SwordArt77777,Victory,33m 31s,Renata Glasc,Ignite,Flash,0,10,19,15,50,32,10
SwordArt77777,Defeat,26m 42s,Renata Glasc,Ignite,Flash,3,10,10,12,52,24,6
SwordArt77777,Victory,28m 45s,Renata Glasc,Ignite,Flash,5,7,19,13,51,17,10
SwordArt77777,Defeat,21m 52s,Leona,Ignite,Flash,1,11,3,10,50,28,5
SwordArt77777,Defeat,29m 7s,Nautilus,Ignite,Flash,2,7,13,11,52,31,12
Moonhk,Victory,26m 12s,Samira,Cleanse,Flash,8,7,5,13,37,197,3
Moonhk,Victory,18m 30s,Irelia,Mark,Flash,14,14,14,18,58,102,0
Moonhk,Victory,20m 34s,Jinx,Heal,Flash,2,5,9,12,44,157,1
Moonhk,Defeat,27m 40s,Xayah,Cleanse,Flash,5,5,8,14,54,219,5
Moonhk,Defeat,28m 55s,Draven,Cleanse,Flash,8,7,2,14,48,232,2
Moonhk,Defeat,15m 28s,Nautilus,Ignite,Flash,0,2,3,7,100,17,7
Moonhk,Defeat,21m 41s,Miss Fortune,Heal,Flash,1,5,0,10,11,139,2
Moonhk,Victory,31m 9s,Zeri,Heal,Flash,9,2,4,16,50,264,5
Moonhk,Victory,23m 26s,Kalista,Exhaust,Flash,1,6,5,13,21,190,5
Moonhk,Victory,14m 31s,Pyke,Mark,Flash,13,9,16,14,71,5,0
Moonhk,Victory,13m 48s,Ryze,Ghost,Flash,16,6,11,15,79,63,0
Moonhk,Victory,10m 46s,Karthus,Mark,Flash,16,8,11,13,87,34,0
Moonhk,Victory,20m 11s,Kalista,Cleanse,Flash,10,4,7,12,53,199,4
Moonhk,Defeat,32m 55s,Miss Fortune,Heal,Flash,4,10,14,15,67,252,4
Moonhk,Victory,16m 25s,Nautilus,Ignite,Flash,2,3,10,9,46,22,8
Moonhk,Victory,19m 10s,Draven,Exhaust,Flash,7,3,7,12,61,175,0
Moonhk,Victory,18m 58s,Leona,Ignite,Flash,3,2,13,11,50,29,8
Moonhk,Defeat,30m 22s,Leona,Ignite,Flash,3,7,11,12,48,30,17
Moonhk,Victory,24m 24s,Samira,Exhaust,Flash,7,4,4,13,35,197,2
Moonhk,Victory,25m 58s,Xayah,Heal,Flash,3,6,8,13,65,187,0
BRO Delight,Victory,27m 40s,Rakan,Ignite,Flash,1,1,23,13,63,34,15
BRO Delight,Remake,3m 17s,Sett,Ignite,Flash,0,1,1,3,100,8,0
BRO Delight,Defeat,28m 18s,Talon,Smite,Flash,3,8,1,13,57,182,4
BRO Delight,Victory,21m 18s,Galio,Ignite,Flash,1,3,6,11,22,35,8
BRO Delight,Defeat,27m 9s,Diana,Smite,Flash,7,8,2,14,38,188,6
BRO Delight,Victory,26m 40s,Rakan,Ignite,Flash,1,3,22,13,88,39,10
BRO Delight,Victory,21m 40s,Galio,Ignite,Flash,6,4,8,12,42,49,8
BRO Delight,Victory,32m 59s,Talon,Smite,Flash,12,8,8,18,40,253,3
BRO Delight,Defeat,22m 8s,Pyke,Ignite,Flash,1,5,6,9,78,18,6
