summoners,result,time,champion,d_spell,f_spell,kill,deths,assist,level,kill_part,cs,ward,kda
dalongmeil,0,930,Diana,Smite,Flash,1,3,2,10,50,106,3,1.0
이 차가 식기전에,1,1015,Hecarim,Smite,Ghost,2,0,1,10,17,109,1,3.6
이 차가 식기전에,0,1504,Nocturne,Smite,Flash,2,6,7,13,56,144,4,1.5
이 차가 식기전에,1,1970,Nocturne,Smite,Flash,7,4,10,17,53,210,7,4.2
이 차가 식기전에,1,1145,Hecarim,Smite,Ghost,10,2,6,13,53,154,1,8.0
이 차가 식기전에,1,1007,Hecarim,Smite,Ghost,3,2,6,11,45,119,4,4.5
이 차가 식기전에,1,1145,Hecarim,Smite,Ghost,2,1,6,12,38,134,3,8.0
이 차가 식기전에,0,1871,Hecarim,Smite,Ghost,6,5,7,16,54,212,3,2.6
이 차가 식기전에,0,985,Hecarim,Smite,Ghost,1,7,3,10,44,79,2,0.6
이 차가 식기전에,1,1122,Hecarim,Smite,Ghost,9,2,6,12,65,122,3,7.5
이 차가 식기전에,0,1473,Hecarim,Smite,Ghost,1,6,3,12,57,137,2,0.7
이 차가 식기전에,1,1300,Hecarim,Smite,Ghost,7,3,6,13,72,155,4,4.3
이 차가 식기전에,1,1121,Hecarim,Smite,Ghost,9,2,16,12,81,112,5,12.5
이 차가 식기전에,0,924,Hecarim,Smite,Ghost,2,5,2,9,50,97,2,0.8
이 차가 식기전에,1,1797,Hecarim,Smite,Ghost,18,2,12,17,71,237,3,15.0
이 차가 식기전에,1,1929,Diana,Smite,Flash,2,5,13,16,45,205,5,3.0
이 차가 식기전에,1,1200,Hecarim,Smite,Ghost,5,3,15,12,63,120,3,6.7
이 차가 식기전에,1,2181,Volibear,Smite,Flash,2,6,15,16,53,164,4,2.8
이 차가 식기전에,1,1150,Hecarim,Smite,Ghost,7,1,4,12,69,134,1,11.0
이 차가 식기전에,1,1855,Sejuani,Ignite,Teleport,2,4,15,16,59,188,0,4.2
이 차가 식기전에,1,1583,Rek'Sai,Smite,Flash,5,5,5,13,63,126,6,2.0
roookie,0,934,Azir,Teleport,Flash,1,6,2,10,30,119,1,0.5
roookie,0,1868,Vex,Ignite,Flash,17,2,8,17,66,236,2,12.5
roookie,1,1312,Azir,Exhaust,Flash,10,4,3,14,37,168,5,3.2
roookie,0,1113,Camille,Ignite,Flash,4,5,4,10,57,105,4,1.6
roookie,0,1489,Lucian,Teleport,Flash,3,10,6,12,53,167,4,0.9
roookie,1,1841,Twisted Fate,Ignite,Flash,7,6,15,16,50,231,1,3.7
roookie,1,1301,Twisted Fate,Teleport,Flash,1,5,11,13,35,151,2,2.4
roookie,0,1309,Ryze,Teleport,Flash,1,6,2,12,38,164,3,0.5
roookie,1,1945,Ahri,Ignite,Flash,8,1,9,18,57,260,2,17.0
roookie,0,913,Ahri,Ignite,Flash,2,3,0,10,20,86,3,0.7
roookie,1,1172,Lucian,Exhaust,Flash,10,1,2,14,44,172,3,12.0
roookie,1,913,Azir,Teleport,Flash,3,3,5,10,40,109,3,2.7
roookie,1,1612,Ryze,Teleport,Flash,9,3,4,16,42,227,4,4.3
roookie,0,1531,Syndra,Teleport,Flash,8,6,4,13,60,175,3,2.0
roookie,0,1699,Viktor,Cleanse,Flash,3,8,2,14,29,203,4,0.6
roookie,1,1917,Vex,Ignite,Flash,11,4,14,16,66,179,5,6.2
roookie,1,957,Viktor,Cleanse,Flash,6,0,4,12,37,150,3,12.0
roookie,0,1516,Lucian,Heal,Flash,3,7,4,14,39,221,1,1.0
roookie,0,1615,Syndra,Heal,Flash,4,10,4,13,33,191,1,0.8
roookie,0,1853,Kennen,Teleport,Flash,6,10,5,15,48,184,7,1.1
JAJA DIFF,1,1628,Camille,Flash,Ignite,3,4,11,14,36,143,2,3.5
JAJA DIFF,0,1660,Jax,Flash,Teleport,6,4,4,15,67,214,5,2.5
JAJA DIFF,0,1443,Jarvan IV,Flash,Smite,2,6,7,12,50,105,2,1.5
JAJA DIFF,1,1139,Camille,Flash,Ignite,4,3,5,12,28,128,2,3.0
JAJA DIFF,0,1278,Renekton,Flash,Teleport,2,12,3,12,38,117,2,0.4
JAJA DIFF,1,928,Jax,Flash,Teleport,3,0,0,11,16,137,2,3.6
JAJA DIFF,0,1327,Jax,Flash,Teleport,4,2,3,13,58,174,4,3.5
JAJA DIFF,1,1290,Camille,Flash,Ignite,8,1,4,14,50,142,1,12.0
JAJA DIFF,1,1504,Jax,Flash,Teleport,5,4,7,15,30,182,3,3.0
JAJA DIFF,1,1668,Jax,Flash,Teleport,4,5,10,15,47,157,7,2.8
JAJA DIFF,0,920,Camille,Teleport,Ignite,2,5,0,11,100,94,0,0.4
JAJA DIFF,0,1220,Jax,Flash,Teleport,2,6,0,11,20,141,0,0.3
JAJA DIFF,1,1837,Jax,Flash,Teleport,14,0,6,17,59,226,5,24.0
JAJA DIFF,1,1328,Jax,Flash,Teleport,9,1,5,14,70,178,1,14.0
JAJA DIFF,1,1318,Jax,Teleport,Ignite,4,5,4,14,42,165,3,1.6
JAJA DIFF,0,1377,Garen,Flash,Ghost,3,4,2,14,45,200,1,1.2
JAJA DIFF,1,922,Jax,Flash,Teleport,2,1,4,11,46,107,1,6.0
JAJA DIFF,1,1332,Jarvan IV,Flash,Smite,6,3,11,13,65,109,6,5.7
JAJA DIFF,1,1240,Camille,Flash,Ignite,7,4,2,14,35,178,3,2.2
JAJA DIFF,1,1544,Jax,Flash,Teleport,8,3,3,16,31,213,2,3.7
Monster toys,0,1146,Vayne,Cleanse,Flash,8,7,6,16,50,102,0,2.0
Monster toys,1,958,Orianna,Cleanse,Flash,19,4,15,16,89,69,0,8.5
Monster toys,0,1571,Lee Sin,Smite,Flash,4,9,10,13,61,99,11,1.6
Monster toys,1,2290,Viego,Smite,Flash,12,3,9,18,51,213,26,7.0
Monster toys,1,1508,Nocturne,Smite,Flash,6,6,6,13,35,143,6,2.0
Monster toys,0,1365,Tryndamere,Ghost,Flash,5,5,2,13,47,171,1,1.4
Monster toys,0,1637,Diana,Smite,Flash,2,9,5,12,64,148,4,0.8
Monster toys,0,1309,Lee Sin,Smite,Flash,4,4,1,12,63,125,6,1.2
Monster toys,0,1295,Nocturne,Smite,Flash,3,5,3,10,60,108,3,1.2
Monster toys,1,1252,Nocturne,Smite,Flash,4,2,6,13,37,130,2,5.0
Monster toys,0,1774,Lee Sin,Smite,Flash,7,8,12,16,68,176,10,2.4
Monster toys,0,1595,Lee Sin,Smite,Flash,3,6,2,13,24,145,6,0.8
Monster toys,1,1431,Nocturne,Smite,Flash,3,0,8,14,52,167,4,13.2
Monster toys,0,1121,Lee Sin,Smite,Flash,5,7,0,10,63,88,6,0.7
Monster toys,1,1187,Diana,Smite,Flash,3,1,7,12,45,137,2,10.0
Monster toys,1,1735,Lee Sin,Smite,Flash,7,3,8,15,60,175,7,5.0
Monster toys,1,920,Lee Sin,Smite,Flash,6,0,7,9,35,91,4,15.6
Monster toys,0,1779,Nocturne,Smite,Flash,8,3,4,15,63,157,7,4.0
TES 77,1,1532,Nautilus,Flash,Ignite,2,9,12,12,35,41,12,1.6
TES 77,1,917,Yuumi,Heal,Ignite,1,3,15,9,64,3,2,5.3
TES 77,1,1868,Nautilus,Flash,Ignite,4,7,16,13,65,42,18,2.9
TES 77,0,1312,Rakan,Flash,Ignite,1,7,6,10,39,33,10,1.0
TES 77,1,1113,Leona,Flash,Ignite,1,2,8,9,43,27,6,4.5
TES 77,1,1274,Nami,Flash,Ignite,4,1,17,11,78,11,6,21.0
TES 77,1,1052,Zac,Flash,Mark,4,11,33,16,59,22,0,3.4
TES 77,1,1914,Tahm Kench,Flash,Ignite,6,7,25,16,72,123,9,4.4
TES 77,1,2347,Leona,Flash,Ignite,4,11,26,16,52,52,12,2.7
TES 77,0,1993,Yuumi,Exhaust,Ignite,2,7,23,14,71,8,11,3.6
TES 77,1,1599,Thresh,Flash,Ignite,3,7,25,13,62,37,9,4.0
TES 77,1,1660,Leona,Flash,Ignite,1,6,22,13,72,29,16,3.8
TES 77,0,1964,Galio,Flash,Ignite,1,10,19,14,65,51,14,2.0
TES 77,1,1779,Nautilus,Flash,Ignite,0,5,23,15,59,41,11,4.6
TES 77,0,1120,Renata Glasc,Flash,Ignite,1,2,5,10,46,11,6,3.0
TES 77,1,1031,Nautilus,Flash,Ignite,5,3,10,9,68,32,6,5.0
TES 77,1,935,Leona,Flash,Ignite,2,1,11,9,52,27,6,13.0
TES 77,1,1266,Nautilus,Flash,Ignite,2,7,12,12,42,87,4,2.0
TES 77,0,1964,Karma,Flash,Ignite,0,9,10,12,59,33,10,1.1
TES 77,1,1382,Nautilus,Flash,Ignite,2,7,18,11,47,29,11,2.9
가민준,1,990,Xayah,Heal,Flash,1,1,8,10,56,139,3,9.0
가민준,1,1328,Samira,Cleanse,Flash,16,3,6,14,73,208,3,7.3
가민준,1,1303,Zoe,Ignite,Flash,9,2,3,13,48,159,2,6.0
가민준,0,1250,Samira,Heal,Flash,2,9,2,10,22,129,0,0.4
가민준,0,1868,Xayah,Heal,Flash,11,6,8,16,50,277,5,3.2
가민준,0,2290,Kalista,Cleanse,Flash,9,8,6,18,44,324,3,1.9
가민준,1,1841,Lucian,Heal,Flash,17,6,7,16,55,272,2,4.0
가민준,1,1309,Ezreal,Heal,Flash,5,1,9,13,61,181,2,14.0
가민준,0,1188,Xayah,Heal,Flash,1,5,3,11,50,158,0,0.8
가민준,0,1264,Samira,Heal,Flash,4,3,3,11,64,183,2,2.3
가민준,1,1259,Lucian,Heal,Flash,6,5,6,11,55,162,0,2.4
가민준,1,1536,Lucian,Heal,Flash,14,3,9,15,62,241,1,7.7
가민준,0,1860,Samira,Heal,Flash,2,6,5,14,23,206,1,1.2
가민준,1,1200,Lucian,Heal,Flash,8,2,9,13,74,168,2,8.5
가민준,1,1187,Samira,Cleanse,Flash,12,1,4,12,73,200,2,16.0
가민준,0,1571,Miss Fortune,Cleanse,Flash,4,6,7,14,44,200,4,1.8
가민준,1,1831,Zoe,Teleport,Flash,6,2,16,16,54,158,4,11.0
가민준,0,1119,Ezreal,Heal,Flash,2,3,1,10,33,145,0,1.0
가민준,1,1964,Ezreal,Heal,Flash,17,4,8,16,78,248,7,6.2
가민준,1,2049,Samira,Cleanse,Flash,11,6,11,17,73,297,0,3.7
jianhun,0,1349,Talon,Flash,Smite,5,3,3,13,50,188,5,2.7
jianhun,0,2249,Sejuani,Ignite,Teleport,6,14,9,17,38,219,1,1.1
jianhun,1,1411,Kayn,Flash,Smite,9,3,6,14,56,165,5,5.0
jianhun,0,1382,Kha'Zix,Flash,Smite,15,7,5,13,83,121,3,2.9
jianhun,0,1653,Nocturne,Flash,Smite,1,6,7,13,35,166,1,1.3
jianhun,0,2049,Wukong,Flash,Smite,5,6,6,16,48,213,2,1.8
jianhun,1,1922,Wukong,Flash,Smite,13,3,15,17,61,187,4,9.3
jianhun,1,743,Jinx,Flash,Exhaust,6,5,21,14,73,71,0,5.4
jianhun,1,923,Gangplank,Flash,Mark,14,5,17,16,63,47,0,6.2
jianhun,0,1825,Talon,Flash,Smite,9,8,8,16,77,233,3,2.1
jianhun,0,1346,Pyke,Flash,Ignite,7,11,9,9,64,13,6,1.5
jianhun,0,1265,Xayah,Flash,Heal,1,8,1,10,15,142,0,0.2
jianhun,1,1405,Kayn,Flash,Smite,12,1,6,15,67,196,4,18.0
jianhun,0,1635,Graves,Flash,Smite,3,8,2,14,31,213,3,0.6
jianhun,0,925,Lucian,Flash,Cleanse,1,6,1,8,40,110,0,0.3
jianhun,1,1322,Volibear,Flash,Smite,4,3,10,13,48,127,2,4.7
jianhun,0,1017,Rengar,Flash,Smite,0,5,1,9,17,91,1,0.2
jianhun,0,2195,Rengar,Flash,Smite,21,12,11,18,80,226,4,2.7
jianhun,1,1265,Karthus,Exhaust,Smite,11,5,16,13,64,135,2,5.4
jianhun,0,1946,Diana,Flash,Smite,5,10,8,16,52,187,0,1.3
LSB Kael,0,1451,Nautilus,Ignite,Flash,0,9,4,10,31,26,6,0.4
LSB Kael,1,1387,Lulu,Ignite,Flash,0,2,15,12,54,13,9,7.5
LSB Kael,1,1441,Miss Fortune,Heal,Flash,5,3,6,13,41,178,1,3.7
LSB Kael,0,1235,Leona,Ignite,Flash,1,7,9,9,67,29,9,1.4
LSB Kael,1,914,Jinx,Cleanse,Flash,19,5,9,16,76,89,0,5.6
LSB Kael,1,1232,Kennen,Ghost,Flash,13,10,24,18,71,33,0,3.7
LSB Kael,1,1119,Nautilus,Ignite,Flash,1,5,16,9,53,23,7,3.4
LSB Kael,0,1609,Rell,Ignite,Flash,0,8,21,12,72,25,9,2.6
LSB Kael,1,1814,Renata Glasc,Ignite,Flash,1,2,12,14,62,16,12,6.5
LSB Kael,1,1419,Veigar,Exhaust,Flash,9,2,10,13,59,193,2,9.5
LSB Kael,0,1883,Nautilus,Ignite,Flash,1,7,17,12,64,41,8,2.6
LSB Kael,0,1817,Renata Glasc,Ignite,Flash,0,7,20,12,80,31,10,2.9
LSB Kael,0,1303,Yuumi,Ignite,Exhaust,3,7,10,10,72,16,6,1.9
LSB Kael,0,1089,Vayne,Cleanse,Flash,15,7,10,16,69,74,0,3.6
전상득,0,1685,Nautilus,Ignite,Flash,3,7,7,12,30,38,7,1.4
전상득,1,1624,Leona,Ignite,Flash,0,4,15,13,65,34,9,3.8
전상득,0,1831,Zed,Flash,Smite,6,5,6,15,57,185,5,2.4
전상득,1,1375,Malphite,Ignite,Flash,7,4,8,13,39,103,5,3.8
전상득,0,1410,Zed,Flash,Smite,2,5,3,12,45,154,5,1.0
전상득,1,2067,Zed,Flash,Smite,9,7,3,17,41,199,7,1.7
전상득,1,1266,Talon,Flash,Smite,16,4,3,15,58,182,3,4.8
전상득,0,1740,Aphelios,Flash,Heal,4,8,7,14,33,238,1,1.4
전상득,0,1382,Galio,Flash,Teleport,3,9,8,11,46,122,4,1.2
전상득,1,1653,Zed,Flash,Smite,18,2,9,16,73,176,4,13.5
전상득,0,2049,Shen,Flash,Teleport,2,4,9,17,48,198,6,2.8
전상득,1,1285,Rek'Sai,Flash,Smite,6,3,5,13,37,143,6,3.7
전상득,0,1450,Talon,Flash,Smite,2,5,7,12,56,144,7,1.8
전상득,1,1150,Talon,Flash,Smite,8,3,4,12,52,144,3,4.0
전상득,0,1474,Zed,Flash,Smite,8,5,1,12,60,139,3,1.8
전상득,1,1913,Talon,Flash,Smite,15,6,14,17,67,230,4,4.8
전상득,1,1646,Talon,Flash,Smite,19,3,15,18,79,231,4,11.3
전상득,0,1345,Talon,Flash,Smite,9,6,2,12,69,125,5,1.8
전상득,1,1195,Talon,Flash,Smite,2,3,6,13,42,157,5,2.7
전상득,1,1231,Talon,Flash,Smite,17,3,5,15,67,180,4,7.3
Night 9 19,1,923,Lee Sin,Flash,Smite,5,0,2,11,41,106,4,8.4
Night 9 19,0,1271,Lee Sin,Flash,Smite,3,8,4,11,54,105,5,0.9
Night 9 19,1,922,Diana,Flash,Smite,5,0,1,11,46,129,3,7.2
Night 9 19,1,1173,Karma,Flash,Ignite,0,1,12,10,44,20,6,12.0
Night 9 19,1,1025,Kalista,Flash,Cleanse,12,10,10,16,52,81,0,2.2
Night 9 19,1,1101,Jhin,Flash,Cleanse,14,10,27,18,63,53,0,4.1
Night 9 19,1,799,Zoe,Flash,Mark,7,8,21,15,67,35,0,3.5
Night 9 19,1,923,Nautilus,Flash,Ignite,0,0,14,9,52,28,4,16.8
Night 9 19,1,2275,Leona,Flash,Ignite,0,12,14,16,47,43,17,1.2
Night 9 19,0,1313,Rek'Sai,Flash,Smite,7,3,4,12,58,127,7,3.7
Night 9 19,1,1187,Sett,Flash,Mark,4,9,18,18,47,48,0,2.4
Night 9 19,1,1174,Kalista,Flash,Cleanse,6,9,14,16,63,93,0,2.2
Night 9 19,1,1719,Lee Sin,Flash,Smite,10,4,11,15,60,175,9,5.2
Night 9 19,1,945,Lee Sin,Flash,Smite,6,0,2,10,50,103,6,9.6
Night 9 19,1,864,Zeri,Flash,Cleanse,18,6,22,15,85,104,0,6.7
Night 9 19,1,795,Sylas,Flash,Mark,7,7,14,13,66,22,0,3.0
Night 9 19,1,1627,Lee Sin,Flash,Smite,14,0,8,15,67,158,11,26.4
Night 9 19,1,917,Viego,Flash,Smite,8,0,2,10,63,93,9,12.0
Night 9 19,0,1433,Karma,Flash,Teleport,2,2,2,13,57,189,4,2.0
Night 9 19,1,1919,Diana,Flash,Mark,10,19,28,18,44,103,0,2.0
V5 ppgod,1,1174,Blitzcrank,Flash,Mark,8,12,31,18,59,28,0,3.2
V5 ppgod,0,2050,Irelia,Flash,Teleport,7,13,4,18,48,305,2,0.8
V5 ppgod,0,1312,Gnar,Flash,Teleport,4,7,2,13,33,141,1,0.9
V5 ppgod,1,1489,Sion,Flash,Teleport,7,3,6,16,36,228,1,4.3
V5 ppgod,0,913,Graves,Flash,Teleport,2,7,1,10,30,121,1,0.4
V5 ppgod,0,1172,Jayce,Flash,Teleport,2,4,1,12,30,153,1,0.8
V5 ppgod,0,913,Graves,Flash,Teleport,1,7,0,9,25,98,0,0.1
V5 ppgod,0,1612,Renekton,Flash,Teleport,6,4,5,15,52,218,2,2.8
V5 ppgod,0,1473,Gwen,Ignite,Teleport,3,7,2,13,29,168,1,0.7
V5 ppgod,0,2158,Gnar,Flash,Teleport,2,11,15,18,50,240,2,1.5
V5 ppgod,0,917,Gragas,Flash,Teleport,0,2,2,10,33,119,0,1.0
V5 ppgod,1,1280,Viktor,Flash,Teleport,6,7,4,14,77,149,3,1.4
V5 ppgod,1,1200,Renekton,Flash,Ignite,5,3,3,13,35,179,3,2.7
V5 ppgod,1,1571,Renekton,Flash,Ignite,7,6,7,15,44,194,3,2.3
V5 ppgod,0,920,Senna,Flash,Exhaust,1,10,0,6,33,16,3,0.1
V5 ppgod,0,1120,Graves,Flash,Teleport,2,8,3,11,38,118,1,0.6
V5 ppgod,0,1842,Sett,Flash,Teleport,4,18,3,16,21,206,2,0.4
V5 ppgod,0,1145,Irelia,Flash,Teleport,0,7,1,12,14,185,0,0.1
V5 ppgod,0,1624,Gnar,Flash,Teleport,2,6,2,15,31,213,3,0.7
V5 ppgod,0,1831,Aatrox,Flash,Teleport,3,14,2,14,24,176,0,0.4
SwordArt77777,0,2004,Bard,Exhaust,Flash,0,4,21,14,81,23,6,5.2
SwordArt77777,0,1395,Renata Glasc,Ignite,Flash,2,5,7,11,75,22,5,1.8
SwordArt77777,0,1332,Nautilus,Ignite,Flash,0,3,7,10,44,34,6,2.3
SwordArt77777,0,2052,Nautilus,Ignite,Flash,3,8,12,13,45,38,17,1.9
SwordArt77777,1,1172,Leona,Ignite,Flash,3,0,10,10,41,29,3,15.6
SwordArt77777,1,1377,Leona,Ignite,Flash,1,3,10,11,44,35,6,3.7
SwordArt77777,1,1244,Alistar,Ignite,Flash,2,6,18,10,67,27,6,3.3
SwordArt77777,0,1202,Thresh,Ignite,Flash,1,6,6,9,54,34,6,1.2
SwordArt77777,1,1493,Nautilus,Ignite,Flash,1,1,18,12,73,30,8,19.0
SwordArt77777,0,1435,Bard,Exhaust,Flash,2,6,4,10,50,35,6,1.0
SwordArt77777,1,1673,Rakan,Ignite,Flash,3,5,22,14,60,9,10,5.0
SwordArt77777,1,1604,Nautilus,Ignite,Flash,2,3,13,12,54,32,8,5.0
SwordArt77777,0,1768,Nautilus,Ignite,Flash,2,8,9,11,50,43,13,1.4
SwordArt77777,0,1842,Senna,Heal,Flash,1,5,11,12,57,45,6,2.4
SwordArt77777,0,2131,Renata Glasc,Ignite,Flash,1,10,19,14,57,10,7,2.0
SwordArt77777,1,2011,Renata Glasc,Ignite,Flash,0,10,19,15,50,32,10,1.9
SwordArt77777,0,1602,Renata Glasc,Ignite,Flash,3,10,10,12,52,24,6,1.3
SwordArt77777,1,1725,Renata Glasc,Ignite,Flash,5,7,19,13,51,17,10,3.4
SwordArt77777,0,1312,Leona,Ignite,Flash,1,11,3,10,50,28,5,0.4
SwordArt77777,0,1747,Nautilus,Ignite,Flash,2,7,13,11,52,31,12,2.1
Moonhk,1,1572,Samira,Cleanse,Flash,8,7,5,13,37,197,3,1.9
Moonhk,1,1234,Jinx,Heal,Flash,2,5,9,12,44,157,1,2.2
Moonhk,0,1660,Xayah,Cleanse,Flash,5,5,8,14,54,219,5,2.6
Moonhk,0,1735,Draven,Cleanse,Flash,8,7,2,14,48,232,2,1.4
Moonhk,0,928,Nautilus,Ignite,Flash,0,2,3,7,100,17,7,1.5
Moonhk,0,1301,Miss Fortune,Heal,Flash,1,5,0,10,11,139,2,0.2
Moonhk,1,1869,Zeri,Heal,Flash,9,2,4,16,50,264,5,6.5
Moonhk,1,1406,Kalista,Exhaust,Flash,1,6,5,13,21,190,5,1.0
Moonhk,1,828,Ryze,Ghost,Flash,16,6,11,15,79,63,0,4.5
Moonhk,1,1211,Kalista,Cleanse,Flash,10,4,7,12,53,199,4,4.2
Moonhk,0,1975,Miss Fortune,Heal,Flash,4,10,14,15,67,252,4,1.8
Moonhk,1,985,Nautilus,Ignite,Flash,2,3,10,9,46,22,8,4.0
Moonhk,1,1150,Draven,Exhaust,Flash,7,3,7,12,61,175,0,4.7
Moonhk,1,1138,Leona,Ignite,Flash,3,2,13,11,50,29,8,8.0
Moonhk,0,1822,Leona,Ignite,Flash,3,7,11,12,48,30,17,2.0
Moonhk,1,1464,Samira,Exhaust,Flash,7,4,4,13,35,197,2,2.8
Moonhk,1,1558,Xayah,Heal,Flash,3,6,8,13,65,187,0,1.8
BRO Delight,1,1660,Rakan,Ignite,Flash,1,1,23,13,63,34,15,24.0
BRO Delight,0,1698,Talon,Smite,Flash,3,8,1,13,57,182,4,0.5
BRO Delight,1,1278,Galio,Ignite,Flash,1,3,6,11,22,35,8,2.3
BRO Delight,0,1629,Diana,Smite,Flash,7,8,2,14,38,188,6,1.1
BRO Delight,1,1600,Rakan,Ignite,Flash,1,3,22,13,88,39,10,7.7
BRO Delight,1,1300,Galio,Ignite,Flash,6,4,8,12,42,49,8,3.5
BRO Delight,1,1979,Talon,Smite,Flash,12,8,8,18,40,253,3,2.5
BRO Delight,0,1328,Pyke,Ignite,Flash,1,5,6,9,78,18,6,1.4
BRO Delight,0,1377,Tahm Kench,Ignite,Flash,3,3,3,12,55,145,6,2.0
BRO Delight,1,922,Zilean,Exhaust,Flash,0,0,3,9,23,27,6,3.6
BRO Delight,0,2290,Pyke,Ignite,Flash,3,13,7,13,29,52,25,0.8
BRO Delight,1,1663,Zilean,Exhaust,Flash,0,3,18,13,46,44,15,6.0
BRO Delight,1,1489,Rakan,Ignite,Flash,5,3,17,13,61,49,14,7.3
BRO Delight,1,1975,Rakan,Ignite,Flash,3,4,26,15,88,48,19,7.2
BRO Delight,0,985,Tahm Kench,Ignite,Flash,1,5,5,9,67,34,6,1.2
BRO Delight,0,1150,Rell,Ignite,Flash,1,6,3,9,50,35,9,0.7
BRO Delight,1,2301,Rakan,Ignite,Flash,3,6,19,15,81,25,19,3.7
BRO Delight,0,2136,Gragas,Ignite,Flash,4,14,19,16,52,26,17,1.6
BRO Delight,1,1273,Sett,Ignite,Flash,2,2,11,10,48,40,12,6.5
13aize,1,917,Ezreal,Flash,Cleanse,6,1,6,10,48,147,0,12.0
13aize,1,1868,Ezreal,Flash,Heal,10,7,11,17,68,296,2,3.0
13aize,1,2290,Ezreal,Flash,Heal,5,5,11,18,39,302,3,3.2
13aize,0,1663,Xayah,Flash,Heal,9,6,2,16,50,269,3,1.8
13aize,0,1218,Kalista,Flash,Cleanse,13,9,15,17,62,89,0,3.1
13aize,1,1242,Xayah,Flash,Cleanse,17,8,12,18,56,81,0,3.6
13aize,0,1322,Miss Fortune,Flash,Heal,3,9,10,11,76,116,0,1.4
13aize,1,1632,Ezreal,Flash,Heal,8,5,10,14,55,231,4,3.6
13aize,1,1474,Ezreal,Flash,Heal,9,6,15,13,57,162,3,4.0
13aize,1,1422,Senna,Flash,Barrier,1,3,18,13,53,38,6,6.3
13aize,1,913,Ezreal,Flash,Heal,5,2,0,10,19,135,2,2.5
13aize,1,1240,Zed,Flash,Ignite,13,6,16,18,56,44,0,4.8
13aize,0,1098,Nidalee,Flash,Ignite,16,8,17,17,73,62,0,4.1
13aize,0,1266,Lee Sin,Flash,Mark,6,6,15,18,68,58,0,3.5
13aize,1,1658,Xayah,Flash,Heal,0,3,13,15,36,253,5,4.3
